Entité,Année,Poste budgétaire,Montant alloué ($),Contexte économique,Justification
Entité_3,2019,Sécurité,1261291.03,Croissance,Allocation de 1261291.03$ à Sécurité en raison du contexte croissance.
Entité_10,2022,Recherche,1595999.01,Récession,Allocation de 1595999.01$ à Recherche en raison du contexte récession.
Entité_7,2019,Développement économique,4314439.82,Récession,Allocation de 4314439.82$ à Développement économique en raison du contexte récession.
Entité_9,2023,Loisirs,651306.85,Récession,Allocation de 651306.85$ à Loisirs en raison du contexte récession.
Entité_8,2021,Environnement,1265909.5,Stable,Allocation de 1265909.5$ à Environnement en raison du contexte stable.
Entité_1,2021,Transport,3384113.89,Stable,Allocation de 3384113.89$ à Transport en raison du contexte stable.
Entité_10,2023,Numérique,1296664.39,Croissance,Allocation de 1296664.39$ à Numérique en raison du contexte croissance.
Entité_2,2021,Éducation,4551890.6,Croissance,Allocation de 4551890.6$ à Éducation en raison du contexte croissance.
Entité_8,2023,Loisirs,613884.71,Stable,Allocation de 613884.71$ à Loisirs en raison du contexte stable.
Entité_4,2020,Santé,7564057.95,Croissance,Allocation de 7564057.95$ à Santé en raison du contexte croissance.
Entité_3,2023,Administration,1513698.65,Croissance,Allocation de 1513698.65$ à Administration en raison du contexte croissance.
Entité_3,2019,Culture,1030849.46,Stable,Allocation de 1030849.46$ à Culture en raison du contexte stable.
Entité_9,2022,Culture,968268.9,Stable,Allocation de 968268.9$ à Culture en raison du contexte stable.
Entité_3,2021,Transport,2288015.09,Stable,Allocation de 2288015.09$ à Transport en raison du contexte stable.
Entité_3,2022,Transport,2777874.35,Récession,Allocation de 2777874.35$ à Transport en raison du contexte récession.
Entité_4,2023,Transport,3013984.56,Stable,Allocation de 3013984.56$ à Transport en raison du contexte stable.
Entité_2,2019,Administration,1740010.72,Stable,Allocation de 1740010.72$ à Administration en raison du contexte stable.
Entité_2,2022,Numérique,1424933.67,Stable,Allocation de 1424933.67$ à Numérique en raison du contexte stable.
Entité_5,2022,Recherche,1741814.73,Récession,Allocation de 1741814.73$ à Recherche en raison du contexte récession.
Entité_6,2021,Éducation,2926980.26,Stable,Allocation de 2926980.26$ à Éducation en raison du contexte stable.
Entité_7,2022,Administration,1429549.79,Stable,Allocation de 1429549.79$ à Administration en raison du contexte stable.
Entité_7,2021,Sécurité,2242466.04,Croissance,Allocation de 2242466.04$ à Sécurité en raison du contexte croissance.
Entité_1,2019,Recherche,1264762.52,Stable,Allocation de 1264762.52$ à Recherche en raison du contexte stable.
Entité_5,2023,Logement,2658213.04,Stable,Allocation de 2658213.04$ à Logement en raison du contexte stable.
Entité_2,2019,Éducation,4355724.15,Récession,Allocation de 4355724.15$ à Éducation en raison du contexte récession.
Entité_10,2021,Sécurité,1601857.85,Croissance,Allocation de 1601857.85$ à Sécurité en raison du contexte croissance.
Entité_6,2021,Environnement,1767221.43,Stable,Allocation de 1767221.43$ à Environnement en raison du contexte stable.
